name,category,ats,token,url,n_jobs,checked_at
Carbon Trust,carbon,greenhouse,carbon,https://boards-api.greenhouse.io/v1/boards/carbon/jobs?content=false,21,2026-08-10T16:13:08+00:00
Chloris Geospatial,carbon,bamboohr,chloris,https://chloris.bamboohr.com/careers/list,2,2026-08-10T16:30:14+00:00
Emergent Forest Finance,carbon,bamboohr,emergentclimate,https://emergentclimate.bamboohr.com/careers/list,2,2026-08-10T16:17:15+00:00
First Climate,carbon,personio,firstclimate,https://firstclimate.jobs.personio.com/xml,4,2026-08-10T16:17:15+00:00
Gold Standard,carbon,teamtailor,goldstandard,https://goldstandard.teamtailor.com/jobs.rss,2,2026-08-10T16:12:39+00:00
Isometric,carbon,ashby,isometric,https://api.ashbyhq.com/posting-api/job-board/isometric,5,2026-08-10T16:30:15+00:00
Karbon-X,carbon,greenhouse,karbon,https://boards-api.greenhouse.io/v1/boards/karbon/jobs?content=false,12,2026-08-10T16:17:46+00:00
Puro Earth,carbon,bamboohr,puro,https://puro.bamboohr.com/careers/list,1,2026-08-10T16:30:19+00:00
STX Group,carbon,greenhouse,stxgroup,https://boards-api.greenhouse.io/v1/boards/stxgroup/jobs?content=false,12,2026-08-10T16:05:52+00:00
South Pole,carbon,teamtailor,southpole,https://southpole.teamtailor.com/jobs.rss,14,2026-08-10T16:12:47+00:00
Space Intelligence,carbon,greenhouse,space,https://boards-api.greenhouse.io/v1/boards/space/jobs?content=false,7,2026-08-10T16:30:25+00:00
Terra Global Capital,carbon,ashby,terra,https://api.ashbyhq.com/posting-api/job-board/terra,1,2026-08-10T16:17:49+00:00
Vertis Environmental Finance,carbon,bamboohr,vertis,https://vertis.bamboohr.com/careers/list,4,2026-08-10T16:05:54+00:00
AFRY,consultancy,smartrecruiters,afry,https://api.smartrecruiters.com/v1/companies/afry/postings?limit=100,955,2026-08-10T16:06:47+00:00
Accenture,consultancy,recruitee,accenture,https://accenture.recruitee.com/api/offers/,2,2026-08-10T16:12:54+00:00
Afry Sweden,consultancy,smartrecruiters,afry,https://api.smartrecruiters.com/v1/companies/afry/postings?limit=100,955,2026-08-10T16:20:52+00:00
Agora Energiewende,consultancy,rippling,agora,https://api.rippling.com/platform/api/ats/v1/board/agora/jobs,14,2026-08-10T16:21:06+00:00
AlixPartners,consultancy,greenhouse,alixpartners,https://boards-api.greenhouse.io/v1/boards/alixpartners/jobs?content=false,110,2026-08-10T16:12:49+00:00
BDO,consultancy,teamtailor,bdo,https://bdo.teamtailor.com/jobs.rss,12,2026-08-10T16:12:57+00:00
Baringa,consultancy,greenhouse,baringa,https://boards-api.greenhouse.io/v1/boards/baringa/jobs?content=false,97,2026-08-10T16:06:45+00:00
Baringa Australia,consultancy,greenhouse,baringa,https://boards-api.greenhouse.io/v1/boards/baringa/jobs?content=false,97,2026-08-10T16:20:53+00:00
Brunswick Group,consultancy,greenhouse,brunswickgroup,https://boards-api.greenhouse.io/v1/boards/brunswickgroup/jobs?content=false,49,2026-08-10T16:32:34+00:00
Carbon Limiting Technologies,consultancy,greenhouse,carbon,https://boards-api.greenhouse.io/v1/boards/carbon/jobs?content=false,21,2026-08-10T16:21:02+00:00
Control Risks,consultancy,pinpoint,controlrisks,https://controlrisks.pinpointhq.com/postings.json,5,2026-08-10T16:32:32+00:00
Deloitte,consultancy,bamboohr,deloitte,https://deloitte.bamboohr.com/careers/list,2,2026-08-10T16:12:59+00:00
E3G,consultancy,bamboohr,e3g,https://e3g.bamboohr.com/careers/list,1,2026-08-10T16:20:49+00:00
Element Energy,consultancy,bamboohr,element,https://element.bamboohr.com/careers/list,4,2026-08-10T16:20:56+00:00
Energy Systems Catapult,consultancy,greenhouse,energysystemscatapult,https://boards-api.greenhouse.io/v1/boards/energysystemscatapult/jobs?content=false,1,2026-08-10T16:06:44+00:00
FTI Consulting,consultancy,bamboohr,fti,https://fti.bamboohr.com/careers/list,1,2026-08-10T16:13:32+00:00
Forvis Mazars,consultancy,greenhouse,forvismazars,https://boards-api.greenhouse.io/v1/boards/forvismazars/jobs?content=false,195,2026-08-16T06:51:46+00:00
Grant Thornton,consultancy,recruitee,grantthornton,https://grantthornton.recruitee.com/api/offers/,83,2026-08-10T16:12:52+00:00
Green Alliance,consultancy,teamtailor,greenalliance,https://greenalliance.teamtailor.com/jobs.rss,3,2026-08-10T16:20:52+00:00
KPMG,consultancy,pinpoint,kpmg,https://kpmg.pinpointhq.com/postings.json,5,2026-08-10T16:12:53+00:00
Kroll,consultancy,bamboohr,kroll,https://kroll.bamboohr.com/careers/list,9,2026-08-10T16:32:31+00:00
Mott MacDonald,consultancy,smartrecruiters,mottmacdonald,https://api.smartrecruiters.com/v1/companies/mottmacdonald/postings?limit=100,1,2026-08-10T16:07:54+00:00
Oliver Wyman,consultancy,lever,oliverwyman,https://api.lever.co/v0/postings/oliverwyman?mode=json,2,2026-08-10T16:12:43+00:00
Petrofac,consultancy,pinpoint,petrofac,https://petrofac.pinpointhq.com/postings.json,3,2026-08-10T16:13:11+00:00
RSM UK,consultancy,pinpoint,rsmuk,https://rsmuk.pinpointhq.com/postings.json,5,2026-08-16T06:51:47+00:00
Roland Berger,consultancy,smartrecruiters,rolandberger,https://api.smartrecruiters.com/v1/companies/rolandberger/postings?limit=100,197,2026-08-10T16:12:48+00:00
S-RM,consultancy,greenhouse,srm,https://boards-api.greenhouse.io/v1/boards/srm/jobs?content=false,23,2026-08-10T16:32:52+00:00
Sia Partners,consultancy,smartrecruiters,sia,https://api.smartrecruiters.com/v1/companies/sia/postings?limit=100,583,2026-08-10T16:20:48+00:00
Systemiq,consultancy,greenhouse,systemiq,https://boards-api.greenhouse.io/v1/boards/systemiq/jobs?content=false,19,2026-08-10T16:20:39+00:00
Teneo,consultancy,greenhouse,teneo,https://boards-api.greenhouse.io/v1/boards/teneo/jobs?content=false,57,2026-08-10T16:32:54+00:00
Tractebel,consultancy,personio,tractebel,https://tractebel.jobs.personio.com/xml,34,2026-08-10T16:20:38+00:00
Vivid Economics,consultancy,ashby,vivid,https://api.ashbyhq.com/posting-api/job-board/vivid,2,2026-08-10T16:13:16+00:00
WSP,consultancy,rippling,wsp,https://api.rippling.com/platform/api/ats/v1/board/wsp/jobs,9,2026-08-10T16:12:55+00:00
Wood Thilsted,consultancy,bamboohr,woodthilsted,https://woodthilsted.bamboohr.com/careers/list,8,2026-08-10T16:20:36+00:00
21Shares,crypto,greenhouse,21shares,https://boards-api.greenhouse.io/v1/boards/21shares/jobs?content=false,1,2026-08-10T16:25:36+00:00
Amber Group,crypto,lever,ambergroup,https://api.lever.co/v0/postings/ambergroup?mode=json,3,2026-08-10T16:06:25+00:00
B2C2,crypto,greenhouse,b2c2,https://boards-api.greenhouse.io/v1/boards/b2c2/jobs?content=false,5,2026-08-10T16:06:24+00:00
Bitfinex,crypto,recruitee,bitfinex,https://bitfinex.recruitee.com/api/offers/,12,2026-08-10T16:12:14+00:00
Bitfinex Securities,crypto,recruitee,bitfinex,https://bitfinex.recruitee.com/api/offers/,12,2026-08-10T16:25:42+00:00
Bitpanda,crypto,greenhouse,bitpanda,https://boards-api.greenhouse.io/v1/boards/bitpanda/jobs?content=false,46,2026-08-10T16:07:38+00:00
Blockchain Capital,crypto,greenhouse,blockchain,https://boards-api.greenhouse.io/v1/boards/blockchain/jobs?content=false,37,2026-08-10T16:25:26+00:00
Blockchain.com,crypto,greenhouse,blockchain,https://boards-api.greenhouse.io/v1/boards/blockchain/jobs?content=false,37,2026-08-10T16:07:37+00:00
Blockdaemon,crypto,ashby,blockdaemon,https://api.ashbyhq.com/posting-api/job-board/blockdaemon,2,2026-08-10T16:25:21+00:00
Bybit,crypto,greenhouse,bybit,https://boards-api.greenhouse.io/v1/boards/bybit/jobs?content=false,142,2026-08-10T16:12:10+00:00
Clear Street,crypto,greenhouse,clearstreet,https://boards-api.greenhouse.io/v1/boards/clearstreet/jobs?content=false,29,2026-08-10T16:25:22+00:00
Coinbase,crypto,greenhouse,coinbase,https://boards-api.greenhouse.io/v1/boards/coinbase/jobs?content=false,173,2026-08-10T16:12:13+00:00
Coinbase Institutional,crypto,greenhouse,coinbase,https://boards-api.greenhouse.io/v1/boards/coinbase/jobs?content=false,173,2026-08-10T16:25:39+00:00
Consensys,crypto,greenhouse,consensys,https://boards-api.greenhouse.io/v1/boards/consensys/jobs?content=false,4,2026-08-10T16:25:27+00:00
Copper,crypto,pinpoint,copper,https://copper.pinpointhq.com/postings.json,5,2026-08-10T16:06:25+00:00
Crypto.com,crypto,lever,crypto,https://api.lever.co/v0/postings/crypto?mode=json,24,2026-08-10T16:12:21+00:00
Elliptic,crypto,ashby,elliptic,https://api.ashbyhq.com/posting-api/job-board/elliptic,33,2026-08-10T16:12:16+00:00
Elwood Technologies,crypto,bamboohr,elwood,https://elwood.bamboohr.com/careers/list,2,2026-08-10T16:06:31+00:00
Falcon X Europe,crypto,greenhouse,falconx,https://boards-api.greenhouse.io/v1/boards/falconx/jobs?content=false,14,2026-08-10T16:25:19+00:00
FalconX,crypto,greenhouse,falconx,https://boards-api.greenhouse.io/v1/boards/falconx/jobs?content=false,14,2026-08-10T16:06:23+00:00
Flowdesk,crypto,smartrecruiters,flowdesk,https://api.smartrecruiters.com/v1/companies/flowdesk/postings?limit=100,2,2026-08-10T16:06:28+00:00
Gemini,crypto,greenhouse,gemini,https://boards-api.greenhouse.io/v1/boards/gemini/jobs?content=false,42,2026-08-10T16:12:14+00:00
Keyrock,crypto,ashby,keyrock,https://api.ashbyhq.com/posting-api/job-board/keyrock,5,2026-08-10T16:06:26+00:00
Luno,crypto,greenhouse,luno,https://boards-api.greenhouse.io/v1/boards/luno/jobs?content=false,13,2026-08-10T16:12:19+00:00
Nethermind,crypto,ashby,nethermind,https://api.ashbyhq.com/posting-api/job-board/nethermind,2,2026-08-10T16:25:23+00:00
OKX,crypto,greenhouse,okx,https://boards-api.greenhouse.io/v1/boards/okx/jobs?content=false,329,2026-08-10T16:07:42+00:00
Paradigm,crypto,greenhouse,paradigm,https://boards-api.greenhouse.io/v1/boards/paradigm/jobs?content=false,1,2026-08-10T16:25:21+00:00
Wave Digital Assets,crypto,teamtailor,wave,https://wave.teamtailor.com/jobs.rss,2,2026-08-10T16:12:40+00:00
Wincent,crypto,ashby,wincent,https://api.ashbyhq.com/posting-api/job-board/wincent,15,2026-08-10T16:06:22+00:00
WisdomTree Digital,crypto,lever,wisdomtree,https://api.lever.co/v0/postings/wisdomtree?mode=json,2,2026-08-10T16:25:39+00:00
AlphaSense,data_vendor,greenhouse,alphasense,https://boards-api.greenhouse.io/v1/boards/alphasense/jobs?content=false,228,2026-08-10T16:32:21+00:00
AlphaSights,data_vendor,greenhouse,alphasights,https://boards-api.greenhouse.io/v1/boards/alphasights/jobs?content=false,88,2026-08-10T16:32:00+00:00
Argus Media,data_vendor,teamtailor,argusmedia,https://argusmedia.teamtailor.com/jobs.rss,46,2026-08-10T16:05:38+00:00
Ascent RegTech,data_vendor,personio,ascent,https://ascent.jobs.personio.com/xml,1,2026-08-10T16:32:33+00:00
Aurora Energy Research,data_vendor,pinpoint,auroraer,https://auroraer.pinpointhq.com/postings.json,85,2026-08-10T16:05:48+00:00
Aurora Insight,data_vendor,pinpoint,auroraer,https://auroraer.pinpointhq.com/postings.json,85,2026-08-10T16:20:49+00:00
Behavox,data_vendor,greenhouse,behavox,https://boards-api.greenhouse.io/v1/boards/behavox/jobs?content=false,35,2026-08-10T16:32:14+00:00
Benchmark Mineral Intelligence,data_vendor,bamboohr,benchmark,https://benchmark.bamboohr.com/careers/list,9,2026-08-10T16:14:55+00:00
Causaly,data_vendor,ashby,causaly,https://api.ashbyhq.com/posting-api/job-board/causaly,8,2026-08-10T16:32:11+00:00
Coleman Research,data_vendor,greenhouse,colemanresearch,https://boards-api.greenhouse.io/v1/boards/colemanresearch/jobs?content=false,7,2026-08-10T16:32:05+00:00
ComplyAdvantage,data_vendor,greenhouse,complyadvantage,https://boards-api.greenhouse.io/v1/boards/complyadvantage/jobs?content=false,23,2026-08-10T16:32:22+00:00
Eagle Alpha,data_vendor,ashby,eagle,https://api.ashbyhq.com/posting-api/job-board/eagle,2,2026-08-10T16:32:30+00:00
Ember,data_vendor,recruitee,ember,https://ember.recruitee.com/api/offers/,20,2026-08-10T16:14:20+00:00
Enverus,data_vendor,pinpoint,enverus,https://enverus.pinpointhq.com/postings.json,3,2026-08-10T16:05:45+00:00
Eventus Systems,data_vendor,bamboohr,eventussystems,https://eventussystems.bamboohr.com/careers/list,5,2026-08-10T16:32:44+00:00
General Index,data_vendor,greenhouse,general,https://boards-api.greenhouse.io/v1/boards/general/jobs?content=false,1,2026-08-10T16:06:21+00:00
Global Relay,data_vendor,greenhouse,globalrelay,https://boards-api.greenhouse.io/v1/boards/globalrelay/jobs?content=false,20,2026-08-10T16:32:13+00:00
GlobalData,data_vendor,recruitee,globaldata,https://globaldata.recruitee.com/api/offers/,2,2026-08-10T16:31:54+00:00
Guidepoint,data_vendor,greenhouse,guidepoint,https://boards-api.greenhouse.io/v1/boards/guidepoint/jobs?content=false,121,2026-08-10T16:32:05+00:00
Hymans Robertson,data_vendor,pinpoint,hymans,https://hymans.pinpointhq.com/postings.json,5,2026-08-10T16:24:09+00:00
Isio,data_vendor,teamtailor,isio,https://isio.teamtailor.com/jobs.rss,44,2026-08-10T16:24:08+00:00
Kaiko,data_vendor,personio,kaiko,https://kaiko.jobs.personio.com/xml,3,2026-08-10T16:06:02+00:00
Lloyds List Intelligence,data_vendor,teamtailor,lloydslistintelligence,https://lloydslistintelligence.teamtailor.com/jobs.rss,8,2026-08-10T16:21:04+00:00
Modo Energy Research,data_vendor,bamboohr,modo,https://modo.bamboohr.com/careers/list,5,2026-08-10T16:20:56+00:00
Montel,data_vendor,teamtailor,montel,https://montel.teamtailor.com/jobs.rss,7,2026-08-10T16:05:49+00:00
Moodys,data_vendor,bamboohr,moodys,https://moodys.bamboohr.com/careers/list,5,2026-08-10T16:10:37+00:00
NICE Actimize,data_vendor,greenhouse,nice,https://boards-api.greenhouse.io/v1/boards/nice/jobs?content=false,293,2026-08-10T16:32:33+00:00
Napier AI,data_vendor,pinpoint,napier,https://napier.pinpointhq.com/postings.json,2,2026-08-10T16:32:27+00:00
Neudata,data_vendor,ashby,neudata,https://api.ashbyhq.com/posting-api/job-board/neudata,5,2026-08-10T16:32:13+00:00
Planet Labs,data_vendor,greenhouse,planetlabs,https://boards-api.greenhouse.io/v1/boards/planetlabs/jobs?content=false,80,2026-08-10T16:07:28+00:00
Preqin,data_vendor,pinpoint,preqin,https://preqin.pinpointhq.com/postings.json,1,2026-08-10T16:24:03+00:00
Quandl Data,data_vendor,recruitee,data,https://data.recruitee.com/api/offers/,1,2026-08-10T16:32:07+00:00
Quantexa,data_vendor,ashby,quantexa,https://api.ashbyhq.com/posting-api/job-board/quantexa,31,2026-08-10T16:32:25+00:00
Quantum Commodity Intelligence,data_vendor,ashby,quantum,https://api.ashbyhq.com/posting-api/job-board/quantum,11,2026-08-10T16:06:24+00:00
Rho Motion,data_vendor,ashby,rho,https://api.ashbyhq.com/posting-api/job-board/rho,40,2026-08-10T16:14:38+00:00
Sigma Ratings,data_vendor,teamtailor,sigma,https://sigma.teamtailor.com/jobs.rss,6,2026-08-10T16:32:48+00:00
Signal Ocean,data_vendor,lever,signal,https://api.lever.co/v0/postings/signal?mode=json,1,2026-08-10T16:06:02+00:00
Smarsh,data_vendor,lever,smarsh,https://api.lever.co/v0/postings/smarsh?mode=json,42,2026-08-10T16:32:18+00:00
Smartkarma,data_vendor,smartrecruiters,smartkarma,https://api.smartrecruiters.com/v1/companies/smartkarma/postings?limit=100,10,2026-08-10T16:32:05+00:00
Sparta Commodities,data_vendor,bamboohr,spartacommodities,https://spartacommodities.bamboohr.com/careers/list,1,2026-08-10T16:05:33+00:00
Spire Global,data_vendor,greenhouse,spire,https://boards-api.greenhouse.io/v1/boards/spire/jobs?content=false,46,2026-08-10T16:05:50+00:00
Steeleye,data_vendor,smartrecruiters,steeleye,https://api.smartrecruiters.com/v1/companies/steeleye/postings?limit=100,2,2026-08-10T16:32:27+00:00
Third Bridge,data_vendor,greenhouse,thirdbridge,https://boards-api.greenhouse.io/v1/boards/thirdbridge/jobs?content=false,115,2026-08-10T16:32:00+00:00
Volue,data_vendor,teamtailor,volue,https://volue.teamtailor.com/jobs.rss,13,2026-08-10T16:05:44+00:00
Watt-Logic,data_vendor,bamboohr,watt,https://watt.bamboohr.com/careers/list,3,2026-08-10T16:08:00+00:00
Westwood Global Energy,data_vendor,personio,westwood,https://westwood.jobs.personio.com/xml,3,2026-08-10T16:14:58+00:00
Xeneta,data_vendor,pinpoint,xeneta,https://xeneta.pinpointhq.com/postings.json,1,2026-08-10T16:21:07+00:00
bfinance,data_vendor,bamboohr,bfinance,https://bfinance.bamboohr.com/careers/list,2,2026-08-10T16:24:06+00:00
Aquis Exchange,exchange,teamtailor,aquisexchange,https://aquisexchange.teamtailor.com/jobs.rss,7,2026-08-10T16:12:34+00:00
BME Spanish Exchanges,exchange,recruitee,bme,https://bme.recruitee.com/api/offers/,4,2026-08-10T16:23:48+00:00
CLS Group,exchange,greenhouse,clsgroup,https://boards-api.greenhouse.io/v1/boards/clsgroup/jobs?content=false,42,2026-08-10T16:10:33+00:00
ClearBank,exchange,greenhouse,clear,https://boards-api.greenhouse.io/v1/boards/clear/jobs?content=false,40,2026-08-10T16:12:19+00:00
Dubai Financial Market,exchange,teamtailor,dfm,https://dfm.teamtailor.com/jobs.rss,12,2026-08-10T16:23:28+00:00
Ebury,exchange,greenhouse,ebury,https://boards-api.greenhouse.io/v1/boards/ebury/jobs?content=false,174,2026-08-10T16:12:22+00:00
Form3,exchange,greenhouse,form3,https://boards-api.greenhouse.io/v1/boards/form3/jobs?content=false,6,2026-08-10T16:12:18+00:00
Indonesia Stock Exchange,exchange,smartrecruiters,indonesia,https://api.smartrecruiters.com/v1/companies/indonesia/postings?limit=100,9,2026-08-10T16:24:03+00:00
Ion Markets,exchange,lever,ion,https://api.lever.co/v0/postings/ion?mode=json,78,2026-08-10T16:24:10+00:00
Japan Exchange Group,exchange,greenhouse,japan,https://boards-api.greenhouse.io/v1/boards/japan/jobs?content=false,3,2026-08-10T16:23:51+00:00
Korea Exchange,exchange,greenhouse,korea,https://boards-api.greenhouse.io/v1/boards/korea/jobs?content=false,1,2026-08-10T16:23:48+00:00
London Metal Exchange,exchange,greenhouse,london,https://boards-api.greenhouse.io/v1/boards/london/jobs?content=false,4,2026-08-10T16:06:40+00:00
Modulr,exchange,greenhouse,modulrfinance,https://boards-api.greenhouse.io/v1/boards/modulrfinance/jobs?content=false,20,2026-08-10T16:12:37+00:00
National Stock Exchange India,exchange,greenhouse,national,https://boards-api.greenhouse.io/v1/boards/national/jobs?content=false,7,2026-08-10T16:24:02+00:00
Plaid,exchange,ashby,plaid,https://api.ashbyhq.com/posting-api/job-board/plaid,106,2026-08-10T16:12:19+00:00
Symphony Communication,exchange,greenhouse,symphony,https://boards-api.greenhouse.io/v1/boards/symphony/jobs?content=false,15,2026-08-10T16:23:53+00:00
TMX Group,exchange,bamboohr,tmx,https://tmx.bamboohr.com/careers/list,2,2026-08-10T16:23:23+00:00
Trading Technologies,exchange,pinpoint,tradingtechnologies,https://tradingtechnologies.pinpointhq.com/postings.json,17,2026-08-10T16:06:22+00:00
TrueLayer,exchange,greenhouse,truelayer,https://boards-api.greenhouse.io/v1/boards/truelayer/jobs?content=false,10,2026-08-10T16:12:18+00:00
Warsaw Stock Exchange,exchange,greenhouse,warsaw,https://boards-api.greenhouse.io/v1/boards/warsaw/jobs?content=false,1,2026-08-10T16:23:43+00:00
Wise,exchange,smartrecruiters,wise,https://api.smartrecruiters.com/v1/companies/wise/postings?limit=100,408,2026-08-10T16:12:30+00:00
Advanced Infrastructure,flex_optimiser,recruitee,advanced,https://advanced.recruitee.com/api/offers/,2,2026-08-10T16:14:36+00:00
Alight,flex_optimiser,smartrecruiters,alight,https://api.smartrecruiters.com/v1/companies/alight/postings?limit=100,2,2026-08-10T16:14:01+00:00
Aquila Capital,flex_optimiser,personio,aquila,https://aquila.jobs.personio.com/xml,3,2026-08-10T16:14:25+00:00
Aquila European Renewables,flex_optimiser,personio,aquila,https://aquila.jobs.personio.com/xml,3,2026-08-10T16:30:47+00:00
Aura Power,flex_optimiser,greenhouse,aura,https://boards-api.greenhouse.io/v1/boards/aura/jobs?content=false,5,2026-08-10T16:07:34+00:00
Axle Energy,flex_optimiser,greenhouse,axle,https://boards-api.greenhouse.io/v1/boards/axle/jobs?content=false,43,2026-08-10T16:04:32+00:00
Bluefield Partners,flex_optimiser,recruitee,bluefield,https://bluefield.recruitee.com/api/offers/,6,2026-08-10T16:07:36+00:00
Bluefield Solar Income Fund,flex_optimiser,recruitee,bluefield,https://bluefield.recruitee.com/api/offers/,6,2026-08-10T16:30:51+00:00
Community Windpower,flex_optimiser,greenhouse,community,https://boards-api.greenhouse.io/v1/boards/community/jobs?content=false,1,2026-08-10T16:11:35+00:00
Constantine Energy Storage,flex_optimiser,bamboohr,constantine,https://constantine.bamboohr.com/careers/list,5,2026-08-10T16:14:31+00:00
Coriolis Energy,flex_optimiser,personio,coriolis,https://coriolis.jobs.personio.com/xml,5,2026-08-10T16:30:35+00:00
Cubico Sustainable Investments,flex_optimiser,pinpoint,cubico,https://cubico.pinpointhq.com/postings.json,4,2026-08-10T16:14:34+00:00
