name,category,domain
Florin Court Capital,fund,florincourt.com
Trium Capital,fund,
Veyt,data_vendor,veyt.com
FGE,data_vendor,fgenergy.com
Bloomberg,data_vendor,
LSEG,data_vendor,lseg.com
Selwood Asset Management,fund,selwoodam.com
Platts Analytics,data_vendor,
Cheyne Capital,fund,cheynecapital.com
StoneX,broker,
OPIS,data_vendor,opisnet.com
MarineTraffic,data_vendor,marinetraffic.com
Timera Energy,data_vendor,timera-energy.com
Numerco,carbon,numerco.com
Wood Mackenzie,data_vendor,woodmac.com
ClearBlue Markets,carbon,clearbluemarkets.com
Clarksons,shipbroker,clarksons.com
Egerton Capital,fund,egertoncapital.com
Freight Investor Services,broker,freightinvestorservices.com
Sucden Financial,broker,
Braemar,shipbroker,braemar.com
RJ OBrien,broker,
LCP Delta,data_vendor,lcp.com
Veson Nautical,data_vendor,veson.com
Ursa Space Systems,data_vendor,ursaspace.com
Redshaw Advisors,carbon,redshawadvisors.com
Elexon,exchange,elexon.co.uk
Nasdaq,exchange,nasdaq.com
EEX,exchange,eex.com
NESO,exchange,neso.energy
BGC Group,broker,
ADM Investor Services,broker,admis.com
SSY,shipbroker,ssyonline.com
GSR,crypto,gsr.io
Wintermute,crypto,wintermute.com
Energy Intelligence,data_vendor,energyintel.com
Trayport,exchange,trayport.com
Talos,crypto,talos.com
Cumberland,crypto,cumberland.io
HSBC,bank,hsbc.com
Archax,crypto,archax.com
CoinShares,crypto,coinshares.com
Barclays,bank,barclays.com
Macquarie,bank,macquarie.com
Intercontinental Exchange,exchange,
Natixis,bank,
Citi,bank,citi.com
CME Group,exchange,
ING,bank,ing.com
UBS,bank,
Cboe Europe,exchange,cboe.com
Nickel Digital,crypto,nickel.digital
Goldman Sachs,bank,goldmansachs.com
Nomura,bank,nomura.com
Jefferies,bank,jefferies.com
Zodia Markets,crypto,zodia-markets.com
MUFG,bank,
JPMorgan,bank,jpmorganchase.com
Bank of America,bank,bankofamerica.com
Hidden Road,crypto,hiddenroad.com
SMBC,bank,
Rabobank,bank,
Morgan Stanley,bank,morganstanley.com
GQR,recruiter,
Deutsche Bank,bank,db.com
NERA,consultancy,nera.com
Ofgem,regulator,ofgem.gov.uk
LMAX Group,crypto,lmax.com
UniCredit,bank,unicredit.eu
ScottishPower,power_gas,
Portofino Technologies,crypto,portofino.tech
BNP Paribas,bank,
Proco Commodities,recruiter,
Iberdrola,power_gas,
Frontier Economics,consultancy,
Commodity Appointments,recruiter,
Enel,power_gas,enel.com
EnBW,power_gas,enbw.com
Verbund,power_gas,verbund.com
Ecotricity,power_gas,ecotricity.co.uk
Oxford Knight,recruiter,oxfordknight.co.uk
Naturgy,power_gas,
Utilita,power_gas,utilita.co.uk
E.ON UK,power_gas,
Mondrian Alpha,recruiter,mondrian-alpha.com
Durlston Partners,recruiter,durlstonpartners.com
Downing,flex_optimiser,downing.co.uk
Mizuho,bank,mizuhogroup.com
Paritas Recruitment,recruiter,
Energy UK,regulator,energy-uk.org.uk
Societe Generale,bank,
CEZ Group,power_gas,
NatPower,flex_optimiser,natpower.com
Financial Conduct Authority,regulator,fca.org.uk
EDF Energy,power_gas,edfenergy.com
EelPower,flex_optimiser,eelpower.co.uk
Selby Jennings,recruiter,
OilX,data_vendor,
Quinbrook Infrastructure Partners,flex_optimiser,quinbrook.com
Kayrros,data_vendor,kayrros.com
Low Carbon,flex_optimiser,lowcarbon.com
Citadel,fund,
EnAppSys,data_vendor,enappsys.com
Penso Power,flex_optimiser,
Nord Pool,exchange,nordpoolgroup.com
Greencoat Capital,flex_optimiser,
Rebellion Energy,power_gas,
EPEX Spot,exchange,epexspot.com
Copenhagen Infrastructure Partners,flex_optimiser,cipartners.dk
Carlton Power,flex_optimiser,carltonpower.co.uk
Balance Power,flex_optimiser,balancepower.co.uk
Fearnleys,shipbroker,fearnleys.com
Clearstone Energy,flex_optimiser,clearstoneenergy.com
JBC Energy,data_vendor,jbcenergy.com
ERM,consultancy,erm.com
ConocoPhillips,major,conocophillips.com
Everoze,consultancy,everoze.com
DE Shaw,fund,deshaw.com
ESAI Energy,data_vendor,esaienergy.com
Unipec,major,
Regen,consultancy,regen.co.uk
Bridgewater Associates,fund,bridgewater.com
Investec,bank,investec.com
Poten and Partners,shipbroker,
PetroChina,major,
DNV,consultancy,
Renewable Energy Systems,flex_optimiser,res-group.com
Arrow Shipbroking,shipbroker,
Lazard,bank,lazard.com
Banchero Costa,shipbroker,
Evercore,bank,evercore.com
Ricardo,consultancy,ricardo.com
Berenberg,bank,berenberg.de
Scotiabank,bank,scotiabank.com
CIBC,bank,cibc.com
Lloyds Banking Group,bank,lloydsbankinggroup.com
ANZ,bank,anz.com
Barry Callebaut,softs,
Westpac,bank,westpac.com.au
BBVA,bank,bbva.com
Commerzbank,bank,commerzbank.com
Peel Hunt,bank,
NatWest Group,bank,natwestgroup.com
TD Securities,bank,tdsecurities.com
Santander UK,bank,santander.co.uk
RBC Capital Markets,bank,
Mediobanca,bank,mediobanca.com
BMO Capital Markets,bank,
Nordea,bank,nordea.com
SEB,bank,seb.se
Handelsbanken,bank,handelsbanken.com
Swedbank,bank,swedbank.com
CaixaBank,bank,caixabank.com
Perella Weinberg Partners,bank,pwpartners.com
ICBC,bank,
Moelis and Company,bank,moelis.com
OCBC,bank,ocbc.com
PJT Partners,bank,pjtpartners.com
Canaccord Genuity,bank,canaccordgenuity.com
Houlihan Lokey,bank,hl.com
Occidental Petroleum,major,oxy.com
AIB,bank,aib.ie
Danske Bank,bank,danskebank.com
Bank of Ireland,bank,bankofireland.com
Bank of China,bank,
ABN AMRO,bank,
abrdn,fund,
ICICI Bank,bank,icicibank.com
Intesa Sanpaolo,bank,intesasanpaolo.com
Daiwa Capital Markets,bank,
Erste Group,bank,erstegroup.com
Fidelity International,fund,fidelityinternational.com
Emirates NBD,bank,emiratesnbd.com
Gulf International Bank,bank,
China Construction Bank,bank,
CITIC Securities,bank,
State Bank of India,bank,sbi.co.in
State Street Global Advisors,fund,ssga.com
Liontrust,fund,liontrust.co.uk
PIMCO,fund,pimco.com
First Abu Dhabi Bank,bank,bankfab.com
M and G Investments,fund,
Insight Investment,fund,insightinvestment.com
Raiffeisen Bank International,bank,rbinternational.com
Columbia Threadneedle,fund,columbiathreadneedle.com
Robeco,fund,robeco.com
Candriam,fund,candriam.com
Aviva Investors,fund,
Qatar National Bank,bank,qnb.com
Arab Banking Corporation,bank,
Carmignac,fund,carmignac.com
Invesco,fund,invesco.com
Unigestion,fund,unigestion.com
RBC BlueBay Asset Management,fund,bluebay.com
BNP Paribas Asset Management,fund,bnpparibas-am.com
Rathbones,fund,rathbones.com
Jupiter Asset Management,fund,jupiteram.com
Allianz Global Investors,fund,
T Rowe Price,fund,troweprice.com
Ruffer,fund,ruffer.co.uk
Fundsmith,fund,fundsmith.co.uk
GAM Investments,fund,gam.com
Edmond de Rothschild,fund,
CQS,fund,
Neuberger Berman,fund,
Federated Hermes,fund,federatedhermes.com
St Jamess Place,fund,sjp.co.uk
AXA Investment Managers,fund,
Waverton Investment Management,fund,
Aegon Asset Management,fund,aegonam.com
Sarasin and Partners,fund,sarasinandpartners.com
Wellington Management,fund,wellington.com
Franklin Templeton,fund,franklintempleton.com
Chenavari Investment Managers,fund,chenavari.com
Record Financial Group,fund,recordfg.com
Alcentra,fund,
Hayfin Capital Management,fund,hayfin.com
Stonehage Fleming,fund,
Intermediate Capital Group,fund,
First Sentier Investors,fund,
Lindsell Train,fund,lindselltrain.com
Farallon Capital,fund,faralloncapital.com
KKR,fund,kkr.com
Troy Asset Management,fund,taml.co.uk
Park Square Capital,fund,parksquarecapital.com
Blackstone,fund,blackstone.com
Attestor Capital,fund,attestorcapital.com
Canyon Partners,fund,canyonpartners.com
Davidson Kempner,fund,dkpartners.com
Permira,fund,permira.com
Astaris Capital Management,fund,
Angelo Gordon,fund,
Bybrook Capital,fund,
Fortress Investment Group,fund,fortress.com
Arcmont Asset Management,fund,arcmont.com
Centerbridge Partners,fund,centerbridge.com
Third Point,fund,thirdpoint.com
Sculptor Capital,fund,sculptor.com
Livingbridge,fund,livingbridge.com
EQT,fund,eqtgroup.com
Eurazeo,fund,eurazeo.com
Ardian,fund,
Elliott Management,fund,elliottmgmt.com
Carlyle Group,fund,
King Street Capital Management,fund,kingstreet.com
Global Infrastructure Partners,fund,
CVC Capital Partners,fund,cvc.com
Beazley,insurance,
Warburg Pincus,fund,warburgpincus.com
Brookfield Asset Management,fund,brookfield.com
Charterhouse Capital Partners,fund,charterhouse.co.uk
Advent International,fund,adventinternational.com
SCOR,insurance,scor.com
Inflexion Private Equity,fund,inflexion.com
Aon,insurance,aon.com
Hiscox,insurance,hiscoxgroup.com
Inigo,insurance,inigoinsurance.com
Tysers,insurance,
Euroclear,exchange,euroclear.com
SWIFT,exchange,
DTCC,exchange,
Clearstream,exchange,clearstream.com
Tradeweb,exchange,tradeweb.com
Lancashire Holdings,insurance,lancashiregroup.com
LCH,exchange,lch.com
Aspen Insurance,insurance,aspen.co
Finastra,exchange,finastra.com
Euronext,exchange,euronext.com
MarketAxess,exchange,
SimCorp,exchange,simcorp.com
Morningstar,data_vendor,morningstar.com
Broadridge,exchange,broadridge.com
MSCI,data_vendor,msci.com
Swiss Re,insurance,swissre.com
Brit Insurance,insurance,britinsurance.com
Hannover Re,insurance,hannover-re.com
Enfusion,exchange,
FIS,exchange,
FactSet,data_vendor,factset.com
InfraVia Capital Partners,fund,infraviacapital.com
Marsh McLennan,insurance,marshmclennan.com
SIX Group,exchange,six-group.com
Perenco,major,
BMS Group,insurance,bmsgroup.com
Energean,major,
EnQuest,major,enquest.com
Deutsche Boerse,exchange,deutsche-boerse.com
Fidelis Insurance,insurance,fidelisinsurance.com
Kistos,major,kistosplc.com
DNO,major,
ONGC,major,
Murex,exchange,murex.com
Tullow Oil,major,
SS and C Technologies,exchange,ssctech.com
PTT,major,
CNOOC,major,
Fitch Ratings,data_vendor,fitchratings.com
Ecopetrol,major,ecopetrol.com.co
Ithaca Energy,major,ithacaenergy.com
Enbridge,major,enbridge.com
YPF,major,ypf.com
Spirit Energy,major,spirit-energy.com
Harbour Energy,major,harbourenergy.com
Var Energi,major,varenergi.no
Wintershall Dea,major,wintershalldea.com
TC Energy,major,tcenergy.com
MOL Group,major,molgroup.info
NEO Energy,major,neo-energy.com
UK Power Networks,power_gas,
SGN,power_gas,sgn.co.uk
Voltalia,flex_optimiser,
Neoen,flex_optimiser,neoen.com
Encavis,flex_optimiser,encavis.com
Vestas,flex_optimiser,vestas.com
Reliance Industries,major,ril.com
SP Energy Networks,power_gas,
Serica Energy,major,serica-energy.com
Kinder Morgan,major,kindermorgan.com
Suncor Energy,major,
Electricity North West,power_gas,
Enel Green Power,flex_optimiser,enelgreenpower.com
Cenovus Energy,major,cenovus.com
Cadent Gas,power_gas,cadentgas.com
Falck Renewables,flex_optimiser,
Acciona Energia,flex_optimiser,
Gridserve,flex_optimiser,gridserve.com
Anesco,flex_optimiser,anesco.co.uk
GE Vernova,flex_optimiser,gevernova.com
Sempra Infrastructure,lng,
Siemens Gamesa,flex_optimiser,siemensgamesa.com
Wales and West Utilities,power_gas,wwutilities.co.uk
Corio Generation,flex_optimiser,coriogeneration.com
EDP Renewables,flex_optimiser,edpr.com
Vale,metals,vale.com
Sonnedix,flex_optimiser,sonnedix.com
Flotation Energy,flex_optimiser,flotationenergy.com
Centamin,metals,
Fred Olsen Renewables,flex_optimiser,fredolsenrenewables.com
Banks Renewables,flex_optimiser,banksgroup.co.uk
Ferrexpo,metals,ferrexpo.com
SSE Renewables,flex_optimiser,sserenewables.com
Metdist,metals,metdist.com
Anglo American,metals,angloamerican.com
Island Green Power,flex_optimiser,
Transamine,trading_house,transamine.com
Antofagasta,metals,
Hochschild Mining,metals,hochschildmining.com
Marubeni,trading_house,
Gore Street Capital,flex_optimiser,gorestreetcap.com
Atrato Partners,flex_optimiser,atratopartners.com
BayWa re,flex_optimiser,baywa-re.com
Fresnillo,metals,
Euronav,shipping,
Hanwa,trading_house,
Franco-Nevada,metals,franco-nevada.com
Itochu,trading_house,
Mitsui and Co,trading_house,
EDF Renewables UK,flex_optimiser,edf-re.uk
Wheaton Precious Metals,metals,wheatonpm.com
TORM,shipping,torm.com
Teekay,shipping,teekay.com
Mitsubishi Corporation,trading_house,
Ecora Resources,metals,
Hafnia,shipping,hafniabw.com
Hapag-Lloyd,shipping,
Atalaya Mining,metals,atalayamining.com
Scorpio Tankers,shipping,scorpiotankers.com
Amalgamated Metal Trading,metals,amt.co.uk
Riverlake,shipbroker,
Bitstamp,crypto,bitstamp.net
Wogen Resources,metals,wogen.com
Chainalysis,crypto,chainalysis.com
Bitmex,crypto,bitmex.com
Norden,shipping,ds-norden.com
Revolut,exchange,revolut.com
Rapyd,exchange,rapyd.net
Oldendorff Carriers,shipping,oldendorff.com
Sumitomo Corporation,trading_house,
Argentex,broker,argentex.com
DHT Holdings,shipping,dhtankers.com
Bitget,crypto,bitget.com
Plus500,broker,plus500.com
ATFX,broker,atfx.com
BRS Shipbrokers,shipbroker,
IG Group,broker,
McQuilling Partners,shipbroker,mcquilling.com
Western Bulk,shipping,westernbulk.com
Liquidnet,broker,liquidnet.com
Pepperstone,broker,pepperstone.com
Corpay,broker,corpay.com
Checkout.com,exchange,checkout.com
Torvald Klaveness,shipping,klaveness.com
MEFF,exchange,meff.es
Turquoise,exchange,
Star Bulk Carriers,shipping,starbulk.com
Instinet,broker,instinet.com
PEGAS,exchange,
Ifchor Galbraiths,shipbroker,ifchorgalbraiths.com
ED and F Man Capital Markets,broker,
Ramp Network,crypto,ramp.network
OMIE,exchange,
EcoAct,carbon,eco-act.com
EY,consultancy,ey.com
Xpansiv,carbon,xpansiv.com
Grexel,carbon,
Abatable,carbon,abatable.com
GH Financials,broker,
Cantor Fitzgerald,broker,
Saxo Bank,broker,home.saxo
Supercritical,carbon,gosupercritical.com
PwC,consultancy,pwc.com
Arup,consultancy,arup.com
HUPX,exchange,hupx.hu
Starling Bank,exchange,starlingbank.com
Interactive Brokers,broker,interactivebrokers.com
Kearney,consultancy,kearney.com
Gemserv,consultancy,
Boston Consulting Group,consultancy,
McKinsey and Company,consultancy,
Capgemini,consultancy,capgemini.com
Worley,consultancy,worley.com
Jacobs,consultancy,jacobs.com
100Green,power_gas,100green.co.uk
Bain and Company,consultancy,bain.com
AIB European Energy Certificate System,carbon,aib-net.org
Squeaky,power_gas,
Guidehouse,consultancy,guidehouse.com
LEK Consulting,consultancy,lek.com
Alvarez and Marsal,consultancy,
Gaspoint Nordic,exchange,
Eneco,power_gas,eneco.com
Litasco,trading_house,litasco.com
Compass Lexecon,consultancy,compasslexecon.com
Wood Group,consultancy,
Delta-EE,consultancy,delta-ee.com
Trailstone,trading_house,
Tomato Energy,power_gas,
Chemoil,trading_house,chemoil.com
Egg Energy,power_gas,
Gazprom Marketing and Trading,power_gas,
Outfox the Market,power_gas,outfoxthemarket.co.uk
Oiltanking,refining,oiltanking.com
Exolum,refining,exolum.com
Coral Energy,trading_house,
Octopus Energy Group,power_gas,
Augusta Energy,trading_house,
Vopak,refining,vopak.com
Clearlake Shipping,trading_house,clearlakeshipping.com
Chimbusco,bunkers,
Bomin,bunkers,
Emerald Energy,trading_house,emeraldenergy.com
Petraco Oil,trading_house,petraco.com
Enerdata,data_vendor,enerdata.net
Crown Gas and Power,power_gas,crowngas.co.uk
ExxonMobil,major,exxonmobil.com
EnergyScan,data_vendor,energyscan.engie.com
Sasol,major,sasol.com
Total Gas and Power,power_gas,totalenergies.uk
Bunkerlink,bunkers,bunkerlink.com
Vertex Energy,refining,vertexenergy.com
SOCAR,major,
Lukoil,major,lukoil.com
Rosneft,major,rosneft.com
KazMunayGas,major,
Sonatrach,major,sonatrach.dz
PDVSA,major,
EnergyQuote JHA,data_vendor,
Sea Oil,bunkers,
Glander International Bunkering,bunkers,
Rubis Terminal,refining,
AOT Trading,trading_house,
Bulb Energy,power_gas,bulb.co.uk
Galp Energia,major,galp.com
NNPC,major,nnpcgroup.com
Bapco Energies,major,bapco.net
Essar Oil UK,refining,essaroil.co.uk
Renantis,flex_optimiser,
Econergy,flex_optimiser,
WH Trading,prop_mm,whtrading.com
Volant Trading,prop_mm,volanttrading.com
Zenith Energy,refining,zenithenergy.com
XR Trading,prop_mm,xrtrading.com
Sosteneo,flex_optimiser,sosteneo.com
Grenergy,flex_optimiser,grenergy.eu
Allston Trading,prop_mm,
Zestec,flex_optimiser,
Marquette Partners,prop_mm,
Ib Vogt,flex_optimiser,ibvogt.com
Vivienne Court,prop_mm,viviennecourt.com
Exagen,flex_optimiser,exagen.co.uk
Bluefin Trading,prop_mm,
Ronin Capital,prop_mm,
Aegean Marine Petroleum,bunkers,aegeanoil.com
Hellenic Petroleum,major,helpe.gr
Kershner Trading,prop_mm,
Group One Trading,prop_mm,group1.com
Encyclis,flex_optimiser,encyclis.com
Ampyr Energy,flex_optimiser,ampyrenergy.com
Motor Oil Hellas,major,moh.gr
Viridor,flex_optimiser,viridor.co.uk
Green Nation,flex_optimiser,greennation.co.uk
Kona Energy,flex_optimiser,konaenergy.co.uk
Enfinium,flex_optimiser,enfinium.co.uk
Levelise,flex_optimiser,levelise.com
Electron,flex_optimiser,electron.net
Ameresco,flex_optimiser,ameresco.com
Fuuse,flex_optimiser,fuuse.io
Welligence,data_vendor,welligence.com
Roskill,data_vendor,
Innova Renewables,flex_optimiser,
Zapmap,flex_optimiser,zap-map.com
Believ,flex_optimiser,believ.com
ERCE,data_vendor,erce.energy
Susi Partners,flex_optimiser,susi-partners.com
Sproule,data_vendor,sproule.com
Glennmont Partners,flex_optimiser,glennmont.com
Origami Energy,flex_optimiser,
Toscafund,fund,toscafund.com
Oxford Institute for Energy Studies,data_vendor,
Metacapital,fund,metacapital.com
Energy Institute,data_vendor,
Chatham House,data_vendor,
Tagenergy,flex_optimiser,tagenergy.com
RISC Advisory,data_vendor,riscadvisory.com
Bodenholm Capital,fund,
Odey Asset Management,fund,odey.com
Kuvari Partners,fund,
Netherland Sewell,data_vendor,netherlandsewell.com
Gaffney Cline,data_vendor,
Sagil Capital,fund,
Naya Capital,fund,
Tresidor Investment Management,fund,
Thunder Said Energy,data_vendor,
Portsea Asset Management,fund,
Pelham Capital,fund,pelhamcapital.com
Coltrane Asset Management,fund,
Ilmarinen,fund,ilmarinen.fi
Palliser Capital,fund,pallisercap.com
Steadview Capital,fund,
Ilex Capital,fund,ilexcapital.com
Glazer Capital,fund,glazercapital.com
Kimberlite Research,data_vendor,kimberliteresearch.com
Goldenwood Capital,fund,goldenwoodcapital.com
Ospraie Management,fund,
Zadig Asset Management,fund,zadigam.com
Nordkinn Asset Management,fund,nordkinnam.com
Taula Capital,fund,taulacapital.com
Ofwat,regulator,
Melqart Asset Management,fund,melqart.com
Garda Capital Partners,fund,
Pertento Partners,fund,pertento.com
Frontier Road,fund,
Riverstone Holdings,fund,
Anson Funds,fund,ansonfunds.com
Whitebox Advisors,fund,whiteboxadvisors.com
Vanda Insight,fund,vandainsights.com
EnCap Investments,fund,encapinvestments.com
Nakilat,lng,nakilat.com
Tailwater Capital,fund,tailwatercapital.com
Dynagas,lng,
UK Infrastructure Bank,regulator,
Department for Energy Security and Net Zero,regulator,
Buckthorn Partners,fund,buckthornpartners.com
Bluewater Energy,fund,
Alcoa,metals,alcoa.com
Knutsen,lng,knutsenoas.com
Aurubis,metals,aurubis.com
Payment Systems Regulator,regulator,
Prudential Regulation Authority,regulator,
Boliden,metals,boliden.com
GasLog,lng,gaslogltd.com
Crown Estate Scotland,regulator,crownestatescotland.com
Umicore,metals,umicore.com
Golar LNG,lng,golarlng.com
NYK Line,lng,nyk.com
Awilco LNG,lng,
Offshore Petroleum Regulator,regulator,nstauthority.co.uk
Kawasaki Kisen,lng,
Nyrstar,metals,nyrstar.com
Great British Energy,regulator,gbe.gov.uk
Barrick,metals,barrick.com
Mitsui OSK Lines,lng,
Eramet,metals,eramet.com
Newmont,metals,newmont.com
Nornickel,metals,nornickel.com
Delfin Midstream,lng,delfinlng.com
Codelco,metals,codelco.com
Pensions Regulator,regulator,thepensionsregulator.gov.uk
Glenfarne Energy Transition,lng,glenfarnegroup.com
Sibanye Stillwater,metals,sibanyestillwater.com
Lundin Mining,metals,lundinmining.com
Gold Fields,metals,
Kinross Gold,metals,
Teck Resources,metals,teck.com
AAK,softs,aak.com
Northam Platinum,metals,northam.co.za
AngloGold Ashanti,metals,anglogoldashanti.com
Norsk Hydro,metals,hydro.com
GrainCorp,softs,graincorp.com.au
Nexa Resources,metals,
Musim Mas,softs,musimmas.com
Agnico Eagle,metals,agnicoeagle.com
Southern Copper,metals,
Hudbay Minerals,metals,hudbayminerals.com
JB Cocoa,softs,jbcocoa.com
Nedcoffee,softs,
Ivanhoe Mines,metals,ivanhoemines.com
Impala Platinum,metals,implats.co.za
First Quantum Minerals,metals,first-quantum.com
Comexim,softs,comexim.com.br
Vicentin,softs,vicentin.com.ar
Apical Group,softs,apicalgroup.com
Nordzucker,softs,nordzucker.com
Grupo Mexico,metals,gmexico.com
Fuji Oil,softs,
Raizen,softs,
Adecoagro,softs,adecoagro.com
Bunge Loders Croklaan,softs,bungeloders.com
Guan Chong,softs,
Andersons,softs,andersonsinc.com
Blommer Chocolate,softs,
Amaggi,softs,amaggi.com.br
CHS Inc,softs,chsinc.com
Copersucar,softs,copersucar.com.br
Al Ghurair Resources,softs,
ZIM,shipping,
HMM,shipping,
Belships,shipping,belships.com
SLC Agricola,softs,slcagricola.com.br
GP Global,bunkers,gp-global.com
Vermont Bunkering,bunkers,
Ipanema Coffee,softs,ipanemacoffees.com.br
Cristal Union,softs,cristal-union.fr
Aegean Bunkering,bunkers,aegeanbunkering.com
NSI Bunkers,bunkers,
Bunker One,bunkers,bunker-one.com
Pfeifer and Langen,softs,pfeifer-langen.com
Wan Hai Lines,shipping,
Evergreen Marine,shipping,
Yang Ming,shipping,
Grindrod Shipping,shipping,
2020 Bulkers,shipping,2020bulkers.com
Exmar,shipping,exmar.be
Okeanis Eco Tankers,shipping,okeanisecotankers.com
Bahri,shipping,bahri.sa
Odfjell,shipping,odfjell.com
Prime Oil and Gas,bunkers,
Himalaya Shipping,shipping,himalayashipping.com
Genchart,shipbroker,genchart.com
Performance Shipping,shipping,performanceshipping.com
BW LPG,shipping,bwlpg.com
Interunity,shipbroker,interunity.com
Fratelli Cosulich Bunkers,bunkers,cosulichgroup.com
Stolt-Nielsen,shipping,stolt-nielsen.com
Dorian LPG,shipping,dorianlpg.com
Navigator Gas,shipping,navigatorgas.com
Tsakos Energy Navigation,shipping,tenn.gr
Imperial Petroleum,shipping,
Alibra Shipping,shipbroker,alibrashipping.com
Ruubarb,carbon,ruubarb.com
Optima Shipping,shipbroker,
Ecosecurities,carbon,ecosecurities.com
Alcyon Shipping,shipbroker,alcyonshipping.com
Zeromission,carbon,zeromission.se
Sindicatum,carbon,sindicatum.com
Tidewater Shipbrokers,shipbroker,tidewater.co.uk
Seascope Shipbroking,shipbroker,seascope.co.uk
Hartland Shipping,shipbroker,
Preem,refining,preem.com
Slovnaft,refining,slovnaft.sk
Epic Gas,shipping,
Saras,refining,saras.it
Respira International,carbon,respira-international.com
Perenia Group,carbon,
Eneos,refining,hd.eneos.co.jp
S-Oil,refining,s-oil.com
Bazan Group,refining,bazan.co.il
Petroplan,recruiter,petroplan.com
Grupa Lotos,refining,
Nayara Energy,refining,
Anew Climate,carbon,anewclimate.com
GS Caltex,refining,gscaltex.com
Rullion,recruiter,rullion.co.uk
Hindustan Petroleum,refining,
Cool Effect,carbon,cooleffect.org
Idemitsu Kosan,refining,
Glocomms,recruiter,
LarsonMaddox,recruiter,
Star Refinery,refining,
Cosmo Oil,refining,
Bharat Petroleum,refining,
Formosa Petrochemical,refining,
SThree,recruiter,
Phaidon International,recruiter,phaidoninternational.com
SK Energy,refining,skenergy.com
Energy Resourcing,recruiter,energyresourcing.com
Levin,recruiter,
Astute Technical Recruitment,recruiter,
Hays,recruiter,hays.co.uk
Bruin Financial,recruiter,bruinfinancial.com
Eames Consulting,recruiter,eamesconsulting.com
Cameron Kennedy,recruiter,cameronkennedy.com
Egon Zehnder,recruiter,egonzehnder.com
Fram Search,recruiter,
Korn Ferry,recruiter,kornferry.com
